Summary	Issue Type	Priority	Epic Name
Là Quản trị viên, tôi muốn Xoá thiết bị không còn sử dụng	Story	High	Asset Management
Là Hệ thống, tôi muốn Xác nhận trước khi xoá	Story	High	Asset Management
Là Hệ thống, tôi muốn Xoá dữ liệu thiết bị khỏi database	Story	High	Asset Management
Là Hệ thống, tôi muốn Xoá marker trên bản đồ	Story	Medium	Asset Management
Là Người dùng, tôi muốn Xem danh sách thiết bị	Story	High	Asset Management
Là Hệ thống, tôi muốn Hiển thị danh sách thiết bị dạng bảng	Story	High	Asset Management
Là Người dùng, tôi muốn Phân trang danh sách	Story	Medium	Asset Management
Là Người dùng, tôi muốn Sắp xếp danh sách theo tên	Story	Medium	Asset Management
Là Người dùng, tôi muốn Tìm kiếm trong danh sách	Story	High	Asset Management
Là Người dùng, tôi muốn Xem thông tin chi tiết thiết bị	Story	High	Asset Management
Là Hệ thống, tôi muốn Hiển thị đầy đủ thông tin thiết bị	Story	High	Asset Management
Là Hệ thống, tôi muốn Hiển thị vị trí thiết bị trên bản đồ	Story	High	Asset Management
Là Quản trị viên, tôi muốn Nhập công suất thiết bị	Story	Medium	Asset Management
Là Quản trị viên, tôi muốn Nhập tình trạng hoạt động	Story	High	Asset Management
Là Quản trị viên, tôi muốn Nhập ngày lắp đặt	Story	Medium	Asset Management
Là Quản trị viên, tôi muốn Nhập thời gian bảo hành	Story	Medium	Asset Management
Là Hệ thống, tôi muốn Lưu thông tin kỹ thuật	Story	High	Asset Management
Là Hệ thống, tôi muốn Đánh dấu trạng thái (hoạt động/lỗi)	Story	High	Asset Management
Là Người dùng, tôi muốn Xem trạng thái thiết bị	Story	High	Asset Management
Là Hệ thống, tôi muốn Cập nhật trạng thái khi có thay đổi	Story	High	Asset Management
Là Hệ thống, tôi muốn Hiển thị thiết bị trên bản đồ	Story	High	Asset Management
Là Hệ thống, tôi muốn Cập nhật vị trí khi thay đổi	Story	High	Asset Management
Là Hệ thống, tôi muốn Đồng bộ dữ liệu thiết bị với bản đồ	Story	High	Asset Management
Là Quản trị viên, tôi muốn Phân loại thiết bị theo nhóm	Story	Medium	Asset Management
Là Hệ thống, tôi muốn Lưu loại thiết bị	Story	High	Asset Management
Là Người dùng, tôi muốn Xem thiết bị theo từng loại	Story	Medium	Asset Management
Là Hệ thống, tôi muốn Lưu lịch sử sửa chữa thiết bị	Story	High	Asset Management
Là Người dùng, tôi muốn Xem lịch sử sửa chữa	Story	High	Asset Management
Là Hệ thống, tôi muốn Lưu thời gian cập nhật	Story	Medium	Asset Management
Là Quản trị viên, tôi muốn Import danh sách thiết bị từ file	Story	Medium	Asset Management
Là Hệ thống, tôi muốn Đọc dữ liệu từ file CSV/Excel	Story	Medium	Asset Management
Là Quản trị viên, tôi muốn Export danh sách thiết bị	Story	Medium	Asset Management
Là Hệ thống, tôi muốn Xuất dữ liệu ra file	Story	Medium	Asset Management
Là Hệ thống, tôi muốn Kiểm tra dữ liệu nhập không bị thiếu	Story	High	Asset Management
Là Hệ thống, tôi muốn Kiểm tra định dạng dữ liệu	Story	High	Asset Management
Là Hệ thống, tôi muốn Cảnh báo khi nhập sai	Story	High	Asset Management
Monitoring	Epic		Monitoring
Là Nhân viên, tôi muốn Nhập dữ liệu tiêu thụ điện/nước	Story	High	Monitoring
Là Nhân viên, tôi muốn Nhập số liệu tiêu thụ theo tháng	Story	High	Monitoring
Là Nhân viên, tôi muốn Chọn thiết bị để nhập dữ liệu	Story	High	Monitoring
Là Hệ thống, tôi muốn Lưu dữ liệu tiêu thụ	Story	High	Monitoring
Là Hệ thống, tôi muốn Kiểm tra dữ liệu nhập hợp lệ	Story	High	Monitoring
Là Nhân viên, tôi muốn Chỉnh sửa dữ liệu đã nhập	Story	Medium	Monitoring
Là Nhân viên, tôi muốn Xoá dữ liệu nhập sai	Story	Medium	Monitoring
Là Người dùng, tôi muốn Xem dữ liệu tiêu thụ điện/nước	Story	High	Monitoring
Là Hệ thống, tôi muốn Hiển thị dữ liệu theo danh sách	Story	High	Monitoring
Là Người dùng, tôi muốn Xem dữ liệu theo thiết bị	Story	High	Monitoring
Là Người dùng, tôi muốn Lọc theo thời gian (ngày/tháng/năm)	Story	High	Monitoring
Là Hệ thống, tôi muốn Hiển thị dữ liệu đã lọc	Story	High	Monitoring
Là Người dùng, tôi muốn Xem lịch sử tiêu thụ	Story	High	Monitoring
Là Hệ thống, tôi muốn Lưu lịch sử dữ liệu theo thời gian	Story	High	Monitoring
Là Người dùng, tôi muốn Xem dữ liệu cũ	Story	Medium	Monitoring
Là Người dùng, tôi muốn Xem tổng tiêu thụ theo ngày	Story	High	Monitoring
Là Người dùng, tôi muốn Xem tổng tiêu thụ theo tháng	Story	High	Monitoring
Là Hệ thống, tôi muốn Tính tổng dữ liệu tiêu thụ	Story	High	Monitoring
Là Người dùng, tôi muốn So sánh dữ liệu giữa các khoảng thời gian	Story	Medium	Monitoring
Là Hệ thống, tôi muốn Hiển thị kết quả so sánh	Story	Medium	Monitoring
Là Người dùng, tôi muốn Xem biểu đồ tiêu thụ	Story	High	Monitoring
Là Hệ thống, tôi muốn Vẽ biểu đồ theo dữ liệu	Story	High	Monitoring
Là Người dùng, tôi muốn Chọn loại biểu đồ (cột/đường)	Story	Medium	Monitoring
Là Hệ thống, tôi muốn Cập nhật biểu đồ khi dữ liệu thay đổi	Story	Medium	Monitoring
Là Người dùng, tôi muốn Tìm kiếm dữ liệu tiêu thụ	Story	High	Monitoring
Là Người dùng, tôi muốn Lọc theo thiết bị	Story	High	Monitoring
Là Người dùng, tôi muốn Lọc theo khoảng thời gian	Story	High	Monitoring
Là Hệ thống, tôi muốn Hiển thị kết quả lọc	Story	High	Monitoring
Là Hệ thống, tôi muốn Phát hiện giá trị tiêu thụ bất thường	Story	Medium	Monitoring
Là Hệ thống, tôi muốn So sánh với ngưỡng cho phép	Story	Medium	Monitoring
Là Người dùng, tôi muốn Nhận cảnh báo khi có bất thường	Story	Medium	Monitoring
Là Hệ thống, tôi muốn Lưu dữ liệu tiêu thụ vào database	Story	High	Monitoring
Là Hệ thống, tôi muốn Cập nhật dữ liệu khi chỉnh sửa	Story	High	Monitoring
Là Hệ thống, tôi muốn Xoá dữ liệu khi cần	Story	Medium	Monitoring
Là Người dùng, tôi muốn Export dữ liệu tiêu thụ	Story	Medium	Monitoring
Là Hệ thống, tôi muốn Xuất dữ liệu ra file Excel/CSV	Story	Medium	Monitoring
Là Người dùng, tôi muốn Tải file về máy	Story	Medium	Monitoring
Là Hệ thống, tôi muốn Hiển thị mức tiêu thụ trên bản đồ	Story	Medium	Monitoring
Là Người dùng, tôi muốn Xem thiết bị tiêu thụ cao trên bản đồ	Story	Medium	Monitoring
Là Hệ thống, tôi muốn Thay đổi màu theo mức tiêu thụ	Story	Medium	Monitoring
Là Nhân viên, tôi muốn Nhập dữ liệu hàng loạt	Story	Medium	Monitoring
Là Hệ thống, tôi muốn Xử lý file nhập dữ liệu	Story	Medium	Monitoring
Là Hệ thống, tôi muốn Lưu dữ liệu sau khi import	Story	Medium	Monitoring
Incident & Maintenance	Epic		Incident & Maintenance
Là Người dân, tôi muốn Gửi báo cáo sự cố để thông báo cho hệ thống	Story	High	Incident & Maintenance
Là Người dân, tôi muốn Nhập mô tả sự cố	Story	High	Incident & Maintenance
Là Người dân, tôi muốn Chọn loại sự cố (điện/nước)	Story	High	Incident & Maintenance
Là Người dân, tôi muốn Chọn vị trí sự cố trên bản đồ	Story	High	Incident & Maintenance
Là Người dân, tôi muốn Tải lên hình ảnh sự cố	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Lưu thông tin sự cố	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Kiểm tra dữ liệu báo cáo hợp lệ	Story	High	Incident & Maintenance
Là Người dân, tôi muốn Nhận thông báo gửi thành công	Story	Medium	Incident & Maintenance
Là Nhân viên, tôi muốn Xem danh sách sự cố	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Hiển thị danh sách sự cố	Story	High	Incident & Maintenance
Là Nhân viên, tôi muốn Xem chi tiết sự cố	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Hiển thị thông tin chi tiết sự cố	Story	High	Incident & Maintenance
Là Nhân viên, tôi muốn Cập nhật trạng thái sự cố	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Lưu trạng thái sự cố	Story	High	Incident & Maintenance
Là Nhân viên, tôi muốn Xoá sự cố không hợp lệ	Story	Medium	Incident & Maintenance
Là Hệ thống, tôi muốn Hiển thị sự cố trên bản đồ	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Đặt marker tại vị trí sự cố	Story	High	Incident & Maintenance
Là Người dùng, tôi muốn Click vào sự cố để xem chi tiết	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Hiển thị popup sự cố	Story	High	Incident & Maintenance
Là Quản trị viên, tôi muốn Phân công kỹ thuật viên xử lý sự cố	Story	High	Incident & Maintenance
Là Quản trị viên, tôi muốn Chọn kỹ thuật viên	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Lưu thông tin phân công	Story	High	Incident & Maintenance
Là Kỹ thuật viên, tôi muốn Nhận thông báo được phân công	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Tạo phiếu công việc từ sự cố	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Gắn sự cố với phiếu công việc	Story	High	Incident & Maintenance
Là Nhân viên, tôi muốn Xem danh sách phiếu công việc	Story	High	Incident & Maintenance
Là Nhân viên, tôi muốn Xem chi tiết phiếu	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Lưu thông tin phiếu công việc	Story	High	Incident & Maintenance
Là Kỹ thuật viên, tôi muốn Cập nhật trạng thái sửa chữa	Story	High	Incident & Maintenance
Là Kỹ thuật viên, tôi muốn Đánh dấu “đang xử lý”	Story	High	Incident & Maintenance
Là Kỹ thuật viên, tôi muốn Đánh dấu “đã hoàn thành”	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Lưu tiến độ công việc	Story	High	Incident & Maintenance
Là Người quản lý, tôi muốn Theo dõi tiến độ sửa chữa	Story	High	Incident & Maintenance
Là Quản trị viên, tôi muốn Tạo lịch bảo trì định kỳ	Story	High	Incident & Maintenance
Là Quản trị viên, tôi muốn Chọn thiết bị cần bảo trì	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Lưu lịch bảo trì	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Nhắc lịch bảo trì	Story	Medium	Incident & Maintenance
Là Nhân viên, tôi muốn Xem lịch bảo trì	Story	Medium	Incident & Maintenance
Là Hệ thống, tôi muốn Lưu lịch sử sửa chữa	Story	High	Incident & Maintenance
Là Người dùng, tôi muốn Xem lịch sử sửa chữa	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Hiển thị chi tiết từng lần sửa	Story	Medium	Incident & Maintenance
Là Hệ thống, tôi muốn Đánh dấu mức độ nghiêm trọng	Story	High	Incident & Maintenance
Là Quản trị viên, tôi muốn Phân loại sự cố theo mức độ	Story	High	Incident & Maintenance
Là Nhân viên, tôi muốn Xử lý sự cố ưu tiên trước	Story	High	Incident & Maintenance
Là Người dùng, tôi muốn Tìm kiếm sự cố	Story	Medium	Incident & Maintenance
Là Người dùng, tôi muốn Lọc theo trạng thái	Story	Medium	Incident & Maintenance
Là Người dùng, tôi muốn Lọc theo thời gian	Story	Medium	Incident & Maintenance
Là Hệ thống, tôi muốn Hiển thị kết quả lọc	Story	Medium	Incident & Maintenance
Là Hệ thống, tôi muốn Gửi thông báo khi có sự cố mới	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Gửi thông báo khi phân công	Story	High	Incident & Maintenance
Là Hệ thống, tôi muốn Gửi thông báo khi hoàn thành	Story	Medium	Incident & Maintenance
Là Kỹ thuật viên, tôi muốn Upload ảnh sau khi sửa	Story	Medium	Incident & Maintenance
Là Kỹ thuật viên, tôi muốn Ghi chú quá trình sửa	Story	Medium	Incident & Maintenance
Là Hệ thống, tôi muốn Lưu dữ liệu sửa chữa	Story	Medium	Incident & Maintenance
User Management	Epic		User Management
Là Quản trị viên, tôi muốn Xem danh sách người dùng để quản lý	Story	High	User Management
Là Hệ thống, tôi muốn Hiển thị danh sách người dùng	Story	High	User Management
Là Quản trị viên, tôi muốn Phân trang danh sách	Story	Medium	User Management
Là Quản trị viên, tôi muốn Sắp xếp danh sách theo tên	Story	Medium	User Management
Là Quản trị viên, tôi muốn Tìm kiếm người dùng	Story	High	User Management
Là Quản trị viên, tôi muốn Xem thông tin chi tiết người dùng	Story	High	User Management
Là Hệ thống, tôi muốn Hiển thị thông tin người dùng	Story	High	User Management
Là Quản trị viên, tôi muốn Xem vai trò người dùng	Story	High	User Management
Là Quản trị viên, tôi muốn Xem trạng thái tài khoản	Story	High	User Management
Là Quản trị viên, tôi muốn Tạo tài khoản mới	Story	High	User Management
Là Quản trị viên, tôi muốn Nhập thông tin người dùng	Story	High	User Management
Là Quản trị viên, tôi muốn Chọn vai trò cho người dùng	Story	High	User Management
Là Hệ thống, tôi muốn Kiểm tra dữ liệu hợp lệ	Story	High	User Management
Là Hệ thống, tôi muốn Lưu tài khoản mới	Story	High	User Management
Là Quản trị viên, tôi muốn Nhận thông báo tạo thành công	Story	Medium	User Management
Là Quản trị viên, tôi muốn Chỉnh sửa thông tin người dùng	Story	High	User Management
Là Quản trị viên, tôi muốn Cập nhật tên người dùng	Story	Medium	User Management
Là Quản trị viên, tôi muốn Cập nhật vai trò	Story	High	User Management
Là Hệ thống, tôi muốn Lưu thông tin cập nhật	Story	High	User Management
Là Hệ thống, tôi muốn Hiển thị thông tin mới	Story	Medium	User Management
Là Quản trị viên, tôi muốn Xoá tài khoản người dùng	Story	High	User Management
Là Hệ thống, tôi muốn Xác nhận trước khi xoá	Story	High	User Management
Là Hệ thống, tôi muốn Xoá dữ liệu người dùng	Story	High	User Management
Là Quản trị viên, tôi muốn Khoá tài khoản người dùng	Story	High	User Management
Là Hệ thống, tôi muốn Ngăn người dùng đăng nhập khi bị khoá	Story	High	User Management
Là Quản trị viên, tôi muốn Mở khoá tài khoản	Story	High	User Management
Là Hệ thống, tôi muốn Cập nhật trạng thái tài khoản	Story	High	User Management
Là Quản trị viên, tôi muốn Gán vai trò cho người dùng	Story	High	User Management
Là Hệ thống, tôi muốn Lưu quyền truy cập	Story	High	User Management
Là Hệ thống, tôi muốn Kiểm tra quyền khi người dùng thao tác	Story	High	User Management
Là Người dùng, tôi muốn Xem thông tin cá nhân	Story	Medium	User Management
Là Người dùng, tôi muốn Chỉnh sửa thông tin cá nhân	Story	Medium	User Management
Là Hệ thống, tôi muốn Lưu thông tin cá nhân	Story	Medium	User Management
Là Hệ thống, tôi muốn Ghi lại hoạt động người dùng	Story	Medium	User Management
Là Quản trị viên, tôi muốn Xem lịch sử hoạt động	Story	Medium	User Management
Là Hệ thống, tôi muốn Lưu log vào database	Story	Medium	User Management
Là Hệ thống, tôi muốn Hiển thị trạng thái online/offline	Story	Low	User Management
Là Quản trị viên, tôi muốn Xem người dùng đang hoạt động	Story	Low	User Management
Public Interaction	Epic		Public Interaction
Là Người dân, tôi muốn Truy cập chức năng tra cứu để tìm thông tin	Story	High	Public Interaction
Là Người dân, tôi muốn Nhập từ khóa tìm kiếm thiết bị	Story	High	Public Interaction
Là Hệ thống, tôi muốn Xử lý từ khóa tìm kiếm	Story	High	Public Interaction
Là Hệ thống, tôi muốn Hiển thị kết quả tìm kiếm	Story	High	Public Interaction
Là Người dân, tôi muốn Xem danh sách kết quả	Story	High	Public Interaction
Là Người dân, tôi muốn Click vào kết quả để xem chi tiết	Story	High	Public Interaction
Là Hệ thống, tôi muốn Hiển thị thông tin chi tiết thiết bị	Story	High	Public Interaction
Là Người dân, tôi muốn Xem thiết bị trên bản đồ	Story	High	Public Interaction
Là Hệ thống, tôi muốn Hiển thị marker thiết bị	Story	High	Public Interaction
Là Người dân, tôi muốn Click vào thiết bị trên bản đồ	Story	High	Public Interaction
Là Hệ thống, tôi muốn Hiển thị popup thông tin	Story	High	Public Interaction
Là Người dân, tôi muốn Xác định vị trí thiết bị gần mình	Story	Medium	Public Interaction
Là Người dân, tôi muốn Tra cứu mức tiêu thụ điện/nước	Story	Medium	Public Interaction
Là Người dân, tôi muốn Nhập mã thiết bị hoặc khu vực	Story	Medium	Public Interaction
Là Hệ thống, tôi muốn Hiển thị dữ liệu tiêu thụ	Story	Medium	Public Interaction
Là Người dân, tôi muốn Xem lịch sử tiêu thụ	Story	Medium	Public Interaction
Là Người dân, tôi muốn Gửi phản ánh sự cố	Story	High	Public Interaction
Là Người dân, tôi muốn Nhập mô tả sự cố	Story	High	Public Interaction
Là Người dân, tôi muốn Chọn loại sự cố	Story	High	Public Interaction
Là Người dân, tôi muốn Chọn vị trí sự cố trên bản đồ	Story	High	Public Interaction
Là Hệ thống, tôi muốn Ghi nhận vị trí sự cố	Story	High	Public Interaction
Là Hệ thống, tôi muốn Lưu thông tin phản ánh	Story	High	Public Interaction
Là Người dân, tôi muốn Nhận thông báo gửi thành công	Story	Medium	Public Interaction
Là Người dân, tôi muốn Tải ảnh sự cố lên hệ thống	Story	High	Public Interaction
Là Hệ thống, tôi muốn Kiểm tra định dạng ảnh	Story	Medium	Public Interaction
Là Hệ thống, tôi muốn Lưu ảnh	Story	Medium	Public Interaction
Là Người dân, tôi muốn Xem lại ảnh đã chọn	Story	Medium	Public Interaction
Là Người dân, tôi muốn Xem danh sách phản ánh của mình	Story	Medium	Public Interaction
Là Hệ thống, tôi muốn Hiển thị danh sách phản ánh	Story	Medium	Public Interaction
Là Người dân, tôi muốn Xem trạng thái xử lý	Story	High	Public Interaction
Là Hệ thống, tôi muốn Cập nhật trạng thái phản ánh	Story	High	Public Interaction
Là Người dân, tôi muốn Tìm kiếm phản ánh	Story	Medium	Public Interaction
Là Người dân, tôi muốn Lọc theo trạng thái	Story	Medium	Public Interaction
Là Người dân, tôi muốn Lọc theo thời gian	Story	Medium	Public Interaction
Là Hệ thống, tôi muốn Hiển thị kết quả lọc	Story	Medium	Public Interaction
Là Người dân, tôi muốn Bổ sung thông tin phản ánh	Story	Medium	Public Interaction
Là Người dân, tôi muốn Cập nhật mô tả	Story	Medium	Public Interaction
Là Hệ thống, tôi muốn Lưu thông tin cập nhật	Story	Medium	Public Interaction
